sqlTypeId	javaclass	need args	full text indexable	StandardSQL	DB2	H2	HSQLDB	MySQL	Oracle	PostgreSQL	SQLite	SQLServer	SQLServer 2008	MSAccess
timestamp(p)	java.util.Date			${sqlTypeId}=true|timestamp=true	timestamp=false	${sqlTypeId}=true|timestamp=true	${sqlTypeId}=true|timestamp=true	timestamp=false	${sqlTypeId}=true|timestamp=true	${sqlTypeId}=true|timestamp=true	none=false	datetime2(p)=true|datetime2=true	datetime2(p)=true|datetime2=true	datetime=false
timestamp with time zone	java.util.Date			${sqlTypeId}=true	timestamp=false	timestamp=false	timestamp=false	timestamp=false	${sqlTypeId}=true	${sqlTypeId}=true|timestamptz=true	none=false	datetimeoffset=true	datetimeoffset=true	datetime=false
timestamp(p) with time zone	java.util.Date			${sqlTypeId}=true|timestamp with time zone=true	timestamp=false	timestamp(p)=false	timestamp(p)=false	timestamp=false	${sqlTypeId}=true|timestamp with time zone=true	${sqlTypeId}=true|timestamptz=true	none=false	datetimeoffset=false	datetimeoffset=false	datetime=false
timestamp with local time zone	java.util.Date			${sqlTypeId}=true	timestamp=false	timestamp=false	timestamp=false	timestamp=false	${sqlTypeId}=true	timestamp with time zone=false	none=false	datetimeoffset=false	datetimeoffset=false	datetime=false
timestamp(p) with local time zone	java.util.Date			${sqlTypeId}=true|timestamp with local time zone=true	timestamp=false	timestamp(p)=false	timestamp(p)=false	timestamp=false	${sqlTypeId}=true|timestamp with local time zone=true	timestamp(p) with time zone=false	none=false	datetimeoffset=false	datetimeoffset=false	datetime=false
datetime	java.util.Date			${sqlTypeId}=true	timestamp=false	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	timestamp=false	timestamp=false	none=false	${sqlTypeId}=false	${sqlTypeId}=false	${sqlTypeId}=false
smalldatetime	java.util.Date			${sqlTypeId}=true	timestamp=false	timestamp=false	timestamp=false	timestamp=false	timestamp=false	timestamp=false	none=false	${sqlTypeId}=true|smalldaatetime=true	${sqlTypeId}=true|smalldaatetime=true	datetime=false
tinyblob	java.sql.Blob			blob=false	blob=false	blob=false	blob=false	${sqlTypeId}=true	blob=false	bytea=false	none=false	varbinary(max)=false	varbinary(max)=false	longbinary=false
tinyint	java.lang.Byte			${sqlTypeId}=true	smallint=false	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	number(3,0)=false|number(3,0)=true	smallint=false	integer=false	${sqlTypeId}=true	${sqlTypeId}=true	byte=true
tinyint(n)	java.lang.Byte			tinyint=false	smallint=false	tinyint=false	tinyint=false	${sqlTypeId}=true	number(3,0)=false	smallint=false	integer=false	tinyint=false	tinyint=false	byte=false
tinytext	java.lang.String		TRUE	text=false	clob=false	varchar=false	varchar=false	${sqlTypeId}=true	clob=false	text=false	text=false	text=false	text=false	text=false
urowid	java.lang.String								${sqlTypeId}=true		none=false
urowid(n)	java.lang.String								${sqlTypeId}=true|urowid=true		none=false
uuid	java.lang.String								rowid=true	${sqlTypeId}=true	none=false	uniqueidentifier =true|uniqueidentifier=true	uniqueidentifier =true|uniqueidentifier=true	guid=true
xml	java.lang.Object			${sqlTypeId}=true	${sqlTypeId}=true				xmltype=true	${sqlTypeId}=true		${sqlTypeId}=true	${sqlTypeId}=true
year(2)	java.lang.Integer			int=false	int=false	int=false	int=false	${sqlTypeId}=true|year=true	number(2,0)=true	int=false	integer=false	int=false	int=false	smallint=false
year(4)	java.lang.Integer			int=false	int=false	int=false	int=false	${sqlTypeId}=true|year=true	number(4,0)=true	int=false	integer=false	int=false	int=false	smallint=false
alert_type	java.lang.Object								${sqlTypeId}=true		none=false
anydata	java.lang.Object								${sqlTypeId}=true		none=false
